id,name_fi,name_se,group,y,x,population,neighbours
020,Akaa,Ackas,6,61.16714598,23.86588876,16467,922;887;908;109;418
005,Alajärvi,Alajärvi,14,63.00127325,23.81752281,9311,759;989;312;584;010;408;403;934;300
009,Alavieska,Alavieska,17,64.16664625,24.30721348,2491,977;483;563;208
010,Alavus,Alavo,14,62.586162,23.61660059,11197,989;005;936;743;300
016,Asikkala,Asikkala,7,61.17251236,25.54914248,8033,098;398;111;781;576;109
018,Askola,Askola,1,60.53021072,25.59888061,4847,638;611;505;616;504
019,Aura,Aura,2,60.64659185,22.58899196,3955,853;636;423
035,Brändö,Brändö,21,60.41266234,21.04371379,449,766;304;295;445
043,Eckerö,Eckerö,21,60.21361205,19.61313866,933,076
046,Enonkoski,Enonkoski,10,62.08926032,28.9169046,1362,740
047,Enontekiö,Enontekis,19,68.38554976,23.63530763,1789,261;148;498
049,Espoo,Esbo,1,60.20637637,24.65672855,297132,257;927;543;235;092;091
050,Eura,Eura,4,61.13000376,22.13593176,11417,684;051;400;531;503;636;783;079;271
051,Eurajoki,Euraåminne,4,61.20354724,21.73409618,9334,684;531;050;051
052,Evijärvi,Evijärvi,14,63.36690195,23.47395314,2404,599;440;233;403;924;288
060,Finström,Finström,21,60.23226279,19.99238319,2638,076;170;771;065;736
061,Forssa,Forssa,5,60.81479135,23.6164073,16573,834;103;887;169
062,Föglö,Föglö,21,60.01128865,20.42548127,501,766;417;438;941;318
065,Geta,Geta,21,60.37427204,19.84577387,505,076;060;736
069,Haapajärvi,Haapajärvi,17,63.74851401,25.31957349,6802,601;691;626;746;317;071;535
071,Haapavesi,Haapavesi,17,64.13614596,25.36440726,6613,977;678;317;563;535;069;791
072,Hailuoto,Karlö,17,65.00859634,24.71112636,950,564;436;748
074,Halsua,Halso,16,63.46014502,24.17159009,1083,272;584;421;924;236
075,Hamina,Fredrikshamn,8,60.56968815,27.19790058,19702,285;935;489;286
076,Hammarland,Hammarland,21,60.21834462,19.73979193,1619,043;170;065;060
077,Hankasalmi,Hankasalmi,13,62.39030115,26.43619137,4683,213;850;686;593;410;275
078,Hanko,Hangö,1,59.82496853,22.96684083,7979,322;710
079,Harjavalta,Harjavalta,4,61.31370193,22.14119935,6785,531;886;050;271
081,Hartola,Gustav Adolfs,7,61.58353323,26.01944571,2621,111;435;781;588;172
082,Hattula,Hattula,5,61.05593794,24.37368881,9405,908;635;109
086,Hausjärvi,Hausjärvi,5,60.78835209,25.02474319,8143,505;316;098;106;165;109;694
111,Heinola,Heinola,7,61.2052356,26.03484125,18344,142;398;016;781;507;081;588;286
090,Heinävesi,Heinävesi,12,62.42598529,28.6294326,3136,309;426;740;681;420;857;915
091,Helsinki,Helsingfors,1,60.16664074,24.9435368,658457,049;753;092
097,Hirvensalmi,Hirvensalmi,10,61.64327965,26.77736901,2131,507;588;172;491;213
098,Hollola,Hollola,7,60.9886065,25.51281347,23090,086;316;560;398;016;109
102,Huittinen,Vittis,4,61.17754567,22.69944393,9870,619;783;271;430;790
103,Humppila,Humppila,5,60.92200817,23.36707202,2166,981;619;887;169;430;061
105,Hyrynsalmi,Hyrynsalmi,18,64.67725997,28.49070507,2139,777;290;620;697
106,Hyvinkää,Hyvinge,1,60.63101689,24.86112432,46880,505;086;433;927;543;858;694
108,Hämeenkyrö,Tavastkyro,6,61.64092246,23.19571486,10337,536;980;143;790
109,Hämeenlinna,Tavastehus,5,60.99617432,24.46442499,67971,086;433;834;098;016;576;887;908;165;635;082;020
139,Ii,Ijo,17,65.32261134,25.37498379,9912,564;751;683;615
140,Iisalmi,Idensalmi,11,63.55968862,27.18698367,20958,595;762;925;402;263;297
142,Iitti,Itis,7,60.89080514,26.33869215,6559,560;407;398;111;286
143,Ikaalinen,Ikalis,6,61.76825112,23.07459093,6877,581;108;980;214;181;790
145,Ilmajoki,Ilmola,14,62.73354132,22.57747553,12366,399;301;152;743
146,Ilomantsi,Ilomants,12,62.67285085,30.92679732,4643,422;167
153,Imatra,Imatra,9,61.17152738,28.76922456,25655,700;405
148,Inari,Enare,19,68.90546979,27.01760221,7008,758;261;890;047
149,Inkoo,Ingå,1,60.04466408,24.00657466,5353,257;444;755;710
151,Isojoki,Storå,14,62.11513714,21.95847847,1891,484;747;287;214;218;232
152,Isokyrö,Storkyro,14,63.00010301,22.31821143,4480,399;145;905;233;743;946
165,Janakkala,Janakkala,5,60.92184606,24.64770658,16340,086;433;109;694
167,Joensuu,Joensuu,12,62.60207923,29.75967928,77261,426;707;848;276;146;422
169,Jokioinen,Jockis,5,60.80516281,23.49008521,5046,761;834;103;981;061
170,Jomala,Jomala,21,60.15043419,19.95256632,5512,076;417;771;060;478
171,Joroinen,Jorois,11,62.17950608,27.82642181,4624,178;681;420;593;915
172,Joutsa,Joutsa,13,61.74027126,26.11098126,4263,435;081;588;097;213;850;179
176,Juuka,Juga,12,63.23985977,29.25432582,4444,204;687;297;607;541;276;422
177,Juupajoki,Juupajoki,6,61.79791326,24.36997415,1786,182;702;562;508
178,Juva,Juva,10,61.8974726,27.85733565,5887,623;491;768;171;681;593
179,Jyväskylä,Jyväskylä,13,62.24167768,25.74949812,144473,435;172;850;182;892;410;592;500
181,Jämijärvi,Jämijärvi,4,61.82022169,22.6910246,1685,581;143;214
182,Jämsä,Jämsä,13,61.86425665,25.19023147,19767,435;291;249;592;179;177;562;508
186,Järvenpää,Träskända,1,60.48109839,25.10074741,45226,753;505;858
202,Kaarina,S:t Karins,2,60.40762085,22.37100491,35497,853;738;423;577;445
204,Kaavi,Kaavi,11,62.97497672,28.4808381,2778,309;857;297;176;607
205,Kajaani,Kajana,18,64.22673393,27.72804668,36493,765;762;925;578;630;785;791
208,Kalajoki,Kalajoki,17,64.26043036,23.94915608,12412,217;272;746;009;977;483;625
211,Kangasala,Kangasala,6,61.46320057,24.06716505,32622,576;291;908;635;837;418;562
213,Kangasniemi,Kangasniemi,10,61.98864447,26.64247306,5230,172;097;491;850;077;593
214,Kankaanpää,Kankaanpää,4,61.80335769,22.39516256,12662,143;151;181;230;232;581;608;609;747;790
216,Kannonkoski,Kannonkoski,13,62.97657348,25.26343062,1311,226;265;992;729;931
217,Kannus,Kannus,16,63.90174541,23.91505422,5390,272;849;746;208
218,Karijoki,Bötom,14,62.30841756,21.70489853,1192,287;151;232;846
224,Karkkila,Högfors,1,60.53493458,24.20821133,8717,433;834;927;444
226,Karstula,Karstula,13,62.87660386,24.80050482,3774,759;312;265;729;216
230,Karvia,Karvia,4,62.13853613,22.56256014,2290,214;301;232;581
231,Kaskinen,Kaskö,15,62.38287189,21.22539234,1289,545
232,Kauhajoki,Kauhajoki,14,62.42508816,22.17724388,12890,151;214;301;218;230;846
233,Kauhava,Kauhava,14,63.10092001,23.06524437,15312,893;152;599;408;403;052;743;946
235,Kauniainen,Grankulla,1,60.21064047,24.7277527,10396,049
236,Kaustinen,Kaustby,16,63.54809065,23.69987851,4196,272;924;074;288
239,Keitele,Keitele,11,63.17958918,26.34994913,2095,601;931;921;595;844
240,Kemi,Kemi,19,65.73363545,24.56341556,19982,751;851;241
320,Kemijärvi,Kemijärvi,19,66.71501852,27.43057753,7105,614;732;583;698
241,Keminmaa,Keminmaa,19,65.79898136,24.54262919,7904,751;845;851;240
322,Kemiönsaari,Kimitoön,2,60.16384526,22.72893426,6614,078;738;734;445;710
244,Kempele,Kempele,17,64.91267217,25.50995188,19116,564;859;425
245,Kerava,Kervo,1,60.40486879,25.10354872,37232,753;858;092
249,Keuruu,Keuru,13,62.26020888,24.70644834,9443,989;495;182;936;592;508
250,Kihniö,Kihniö,6,62.20317632,23.177811,1808,301;581;936;980;743
256,Kinnula,Kinnula,13,63.36727118,24.9699576,1581,584;601;691;265;421;931
257,Kirkkonummi,Kyrkslätt,1,60.12065796,24.43891308,40433,149;049;927;755
260,Kitee,Kides,12,62.09669051,30.14538629,9877,580;740;707;848
261,Kittilä,Kittilä,19,67.65312786,24.91143746,6523,758;148;273;498;698;047
263,Kiuruvesi,Kiuruvesi,11,63.65146211,26.62248991,7759,626;595;140;925;630
265,Kivijärvi,Kivijärvi,13,63.12292486,25.07096807,1088,226;312;584;256;931;216
271,Kokemäki,Kumo,4,61.25613635,22.35045919,6951,886;050;783;079;102;790
272,Kokkola,Karleby,16,63.83758306,23.13196166,47909,217;440;421;074;236;849;208;288
273,Kolari,Kolari,19,67.33171829,23.78897403,3989,854;261;498;698
275,Konnevesi,Konnevesi,13,62.62733411,26.28945725,2586,077;686;410;992;921
276,Kontiolahti,Kontiolax,12,62.76646537,29.8444078,15035,426;176;607;422;167
280,Korsnäs,Korsnäs,15,62.7850523,21.18872803,2050,475;545
284,Koski Tl,Koskis,2,60.65298194,23.13736739,2271,761;636;734;430;480
285,Kotka,Kotka,8,60.4655208,26.94115263,51241,624;286;075
286,Kouvola,Kouvola,8,60.86682521,26.70559815,80454,434;407;142;624;285;111;507;739;441;075
287,Kristiinankaupunki,Kristinestad,15,62.27474215,21.37854708,6380,484;151;218;545;846
288,Kruunupyy,Kronoby,15,63.72781773,23.03377186,6442,272;599;440;052;924;236
290,Kuhmo,Kuhmo,18,64.12528863,29.52436755,7928,765;541;777;697;105;422
291,Kuhmoinen,Kuhmois,6,61.56242598,25.17566561,2158,435;781;576;182;211;562
295,Kumlinge,Kumlinge,21,60.25969248,20.77831317,313,766;941;736;035
297,Kuopio,Kuopio,11,62.89298292,27.68893474,121543,778;420;857;595;687;297;140;844;402;749
300,Kuortane,Kuortane,14,62.80741062,23.50639308,3528,005;010;408;743
301,Kurikka,Kurikka,14,62.61889395,22.39877371,20197,399;145;475;230;232;581;250;743;545;846
304,Kustavi,Gustavs,2,60.5467147,21.35888164,971,035;895;833;529;445
305,Kuusamo,Kuusamo,17,65.96442492,29.18861606,15165,777;832;614;732
312,Kyyjärvi,Kyyjärvi,13,63.04341099,24.56643731,1232,759;226;005;584;265
316,Kärkölä,Kärkölä,7,60.86837648,25.27337711,4245,505;086;560;098
317,Kärsämäki,Kärsämäki,17,63.98058707,25.75966745,2533,626;071;630;069;791
318,Kökar,Kökar,21,59.92027831,20.90837276,224,766;062;445
398,Lahti,Lahtis,7,60.98038056,25.65498796,120027,560;098;142;111;016
399,Laihia,Laihela,15,62.97795671,22.01117311,7916,499;145;301;475;152;905
400,Laitila,Letala,2,60.87586035,21.69023338,8456,895;918;684;631;503;050
407,Lapinjärvi,Lappträsk,1,60.62436343,26.20140546,2580,434;560;142;504;286
402,Lapinlahti,Lapinlahti,11,63.36451775,27.38741548,9247,687;762;140;749;297
403,Lappajärvi,Lappajärvi,14,63.21760282,23.63284998,2866,005;233;408;934;052;924
405,Lappeenranta,Villmanstrand,9,61.05874972,28.18768991,72634,489;831;700;441;416;153
408,Lapua,Lappo,14,62.97016866,23.00757033,14203,005;233;403;743;300
410,Laukaa,Laukas,13,62.41352801,25.9577773,18788,850;077;892;992;179;275
416,Lemi,Lemi,9,61.061523,27.80496054,2917,739;831;405;441
417,Lemland,Lemland,21,60.06845352,20.09959938,2135,062;170;438;478
418,Lempäälä,Lempäälä,6,61.31252563,23.75574812,24164,922;908;211;837;604;020
420,Leppävirta,Leppävirta,11,62.49182904,27.78866301,9280,778;171;593;090;857;297;915
421,Lestijärvi,Lestijärvi,16,63.52480175,24.66580332,719,272;584;256;691;074;849;746
422,Lieksa,Lieksa,12,63.31780454,30.02809682,10543,176;541;276;290;146;167
423,Lieto,Lundo,2,60.50687627,22.45593281,20291,853;636;202;019;577;480
425,Liminka,Limingo,17,64.80979475,25.41194627,10218,564;494;244;436;859;748;791
426,Liperi,Libelits,12,62.53448093,29.36786196,11979,309;740;707;090;607;276;167
444,Lohja,Lojo,1,60.25091625,24.06578205,45988,149;224;761;834;927;755;734;710
430,Loimaa,Loimaa,2,60.85136225,23.05859386,15628,103;981;619;636;561;783;102;480;284
433,Loppi,Loppi,5,60.71755642,24.44356627,7799,224;834;927;106;165;109;694
434,Loviisa,Lovisa,1,60.45773298,26.22366036,14643,638;407;624;504;286
435,Luhanka,Luhanka,13,61.79680559,25.70382532,703,781;081;172;291;182;179
436,Lumijoki,Lumijoki,17,64.83761714,25.18712598,2018,072;564;425;748
438,Lumparland,Lumparland,21,60.1174024,20.25889213,376,417;062;941;771
440,Luoto,Larsmo,15,63.75549434,22.74668498,5622,272;598;599;052;288
441,Luumäki,Luumäki,9,60.92092464,27.55974013,4473,489;739;405;416;286
475,Maalahti,Malax,15,62.94291006,21.55285148,5487,499;399;301;280;905;545
478,Maarianhamina - Mariehamn,Mariehamn,21,60.10152084,19.94226783,11742,417;170
480,Marttila,S:t Mårtens,2,60.58541197,22.89896727,1990,636;734;430;423;577;284
481,Masku,Masku,2,60.57099198,22.09868812,9612,503;529;538;680;704
483,Merijärvi,Merijärvi,17,64.29771802,24.44184813,1076,009;563;208;625
484,Merikarvia,Sastmola,4,61.86033969,21.50543006,3055,747;287;151;609
489,Miehikkälä,Miehikkälä,8,60.66922448,27.6963664,1835,935;405;441;075
491,Mikkeli,S:t Michel,10,61.6877269,27.27322437,52122,507;097;623;739;178;213;593
494,Muhos,Muhos,17,64.80891858,25.99005002,8909,564;889;859;785;425
495,Multia,Multia,13,62.4086975,24.79462133,1488,989;249;892;729;592
498,Muonio,Muonio,19,67.95927533,23.67722326,2321,261;273;047
499,Mustasaari,Korsholm,15,63.1140541,21.68074516,19536,399;475;905;946
500,Muurame,Muurame,13,62.13050888,25.67356508,10426,850;179
503,Mynämäki,Virmo,2,60.67873279,21.98750659,7594,833;918;400;529;050;481;636;538
504,Myrskylä,Mörskom,1,60.67043966,25.85210217,1816,434;638;018;560;407;616
505,Mäntsälä,Mäntsälä,1,60.63608498,25.32020469,20837,753;018;611;086;316;560;106;858;186;616
508,Mänttä-Vilppula,Mänttä-Vilppula,6,62.03694871,24.55309551,9563,182;936;249;702;177
507,Mäntyharju,Mäntyharju,10,61.41828094,26.87535565,5635,111;588;097;739;491;286
529,Naantali,Nådendal,2,60.46770925,22.01822472,19579,304;833;503;853;481;680;445
531,Nakkila,Nakkila,4,61.36690219,22.00407589,5169,051;886;050;079;609
535,Nivala,Nivala,17,63.92963779,24.95394376,10396,746;977;071;069
536,Nokia,Nokia,6,61.47877377,23.5084994,34884,922;108;837;980;604;790
538,Nousiainen,Nousis,2,60.59911483,22.08218037,4689,503;481;704
541,Nurmes,Nurmes,12,63.54426631,29.13299557,9423,765;687;176;541;290;422
543,Nurmijärvi,Nurmijärvi,1,60.46080612,24.80736923,44127,049;927;106;858;092
545,Närpiö,Närpes,15,62.47329348,21.33671831,9562,287;301;280;231;475;846
560,Orimattila,Orimattila,7,60.80402214,25.73428856,15808,505;316;098;407;142;398;616;504
561,Oripää,Oripää,2,60.85635031,22.69741126,1337,636;783;430
562,Orivesi,Orivesi,6,61.67740715,24.35738941,8978,291;182;211;837;702;177
563,Oulainen,Oulainen,17,64.26657017,24.81623198,7102,009;977;678;071;483;625
564,Oulu,Uleåborg,17,65.01378482,25.47209907,209551,072;494;244;615;889;436;859;425;139
309,Outokumpu,Outokumpu,12,62.72602446,29.0154234,6506,426;090;857;204;607
576,Padasjoki,Padasjoki,7,61.35140846,25.27761076,2813,016;781;291;211;635;109
577,Paimio,Pemar,2,60.45541066,22.69114686,11041,738;734;202;423;480
578,Paltamo,Paltamo,18,64.40944726,27.83216294,3183,765;205;620;697;785
445,Parainen,Pargas,2,60.29912491,22.3023017,15086,766;035;304;853;529;738;202;318;322
580,Parikkala,Parikkala,9,61.55512963,29.50106581,4567,260;700;689;740
581,Parkano,Parkano,6,62.0106234,23.02104105,6286,301;230;250;980;143;214;181
599,Pedersören kunta,Pedersöre,15,63.60123347,22.7912893,11172,893;598;440;233;052;288
583,Pelkosenniemi,Pelkosenniemi,19,67.10919205,27.51287853,924,320;732;758;742
854,Pello,Pello,19,66.7755835,23.96347775,3296,976;273;698
584,Perho,Perho,16,63.21527451,24.42316304,2676,005;312;256;265;421;934;924;074
588,Pertunmaa,Pertunmaa,10,61.50309406,26.47798784,1644,111;507;081;172;097
592,Petäjävesi,Petäjävesi,13,62.25666376,25.18360651,3678,495;182;249;892;179
593,Pieksämäki,Pieksämäki,10,62.29859083,27.15548191,17253,178;491;213;077;778;171;686;420
595,Pielavesi,Pielavesi,11,63.23234857,26.75560607,4269,601;626;239;140;844;263;297
598,Pietarsaari,Jakobstad,15,63.67522173,22.70293174,19097,893;599;440
601,Pihtipudas,Pihtipudas,13,63.3703344,25.57461423,3873,256;691;626;931;239;595;069
604,Pirkkala,Birkala,6,61.46524896,23.64548323,20206,922;536;837;418
607,Polvijärvi,Polvijärvi,12,62.85682699,29.36960256,4161,309;426;204;176;276
608,Pomarkku,Påmark,4,61.69484675,22.01045371,2013,747;214;609
609,Pori,Björneborg,4,61.4837263,21.79590011,83482,531;484;608;886;214;;;790
611,Pornainen,Borgnäs,1,60.47689845,25.37293237,5066,753;638;018;505
638,Porvoo,Borgå,1,60.39537194,25.66655954,51149,434;753;018;611;504
614,Posio,Posio,19,66.10973699,28.17390642,3066,683;615;832;305;320;732;698
615,Pudasjärvi,Pudasjärvi,17,65.36094712,26.99924354,7702,564;683;777;832;889;620;614;139
616,Pukkila,Pukkila,1,60.64535285,25.58040756,1848,018;505;560;504
619,Punkalaidun,Punkalaidun,6,61.11327293,23.10054219,2721,103;887;102;430;790
620,Puolanka,Puolanka,18,64.86865877,27.66907112,2446,578;615;777;889;697;105;785
623,Puumala,Puumala,10,61.52185533,28.17997176,2117,739;178;491;831;768;700
624,Pyhtää,Pyttis,8,60.49221049,26.54488002,5119,434;285;286
625,Pyhäjoki,Pyhäjoki,17,64.46516356,24.25919718,3048,678;483;563;208
626,Pyhäjärvi,Pyhäjärvi,17,63.68183545,25.98577566,4964,601;595;317;263;630;069
630,Pyhäntä,Pyhäntä,17,64.09946034,26.32997786,1631,626;925;205;317;263;791
631,Pyhäranta,Pyhäranta,2,60.94826649,21.44093453,1985,895;684;400
635,Pälkäne,Pälkäne,6,61.33682118,24.27040923,6439,576;908;211;082;109
636,Pöytyä,Pöytyä,2,60.72136936,22.59953768,8222,503;050;561;783;430;423;019;480;284
678,Raahe,Brahestad,17,64.68773434,24.4782731,24260,071;563;625;748;791
710,Raasepori,Raseborg,1,59.97455292,23.43622808,27484,078;149;444;734;322
680,Raisio,Reso,2,60.48607965,22.17106883,24810,853;529;481;704
681,Rantasalmi,Rantasalmi,10,62.0634134,28.30422997,3330,178;768;740;171;090;915
683,Ranua,Ranua,19,65.92750562,26.5184167,3670,751;615;614;845;698;139
684,Rauma,Raumo,4,61.12873788,21.51112692,38959,051;400;631;050
686,Rautalampi,Rautalampi,11,62.62113714,26.835421,3033,077;778;593;921;275;844
687,Rautavaara,Rautavaara,11,63.4942103,28.29822308,1513,765;762;402;176;541;297
689,Rautjärvi,Rautjärvi,9,61.4334718,29.36791525,3092,700;580
691,Reisjärvi,Reisjärvi,17,63.6043868,24.93785105,2690,601;256;421;849;746;069
694,Riihimäki,Riihimäki,5,60.73673723,24.77532145,28521,086;433;106;165
697,Ristijärvi,Ristijärvi,18,64.50509619,28.21176886,1210,765;578;290;620;105
698,Rovaniemi,Rovaniemi,19,66.50279026,25.72847886,64180,683;614;320;845;976;854;758;261;273
700,Ruokolahti,Ruokolax,9,61.29226413,28.81579954,4913,623;831;768;689;580;740;405;153
702,Ruovesi,Ruovesi,6,61.98448822,24.06881184,4155,936;837;980;177;562;508
704,Rusko,Rusko,2,60.54243951,22.22251506,6379,853;481;538;680
707,Rääkkylä,Rääkkylä,12,62.31267702,29.62605846,2032,260;426;740;848;167
729,Saarijärvi,Saarijärvi,13,62.70552368,25.253902,9117,759;226;989;495;892;992;216
732,Salla,Salla,19,66.83097128,28.6699331,3416,305;614;320;583;742
734,Salo,Salo,2,60.3843736,23.12672713,51400,761;444;738;577;480;284;322;710
736,Saltvik,Saltvik,21,60.27521484,20.05911525,1810,941;771;065;060;295
790,Sastamala,Sastamala,6,61.34022515,22.90643753,23998,922;619;887;102;271;536;108;143;214;609
738,Sauvo,Sagu,2,60.34450672,22.69175034,2959,734;202;577;322;445
739,Savitaipale,Savitaipale,9,61.19874215,27.68601914,3261,507;623;491;831;441;416;286
740,Savonlinna,Nyslott,10,61.86980266,28.87849829,32547,260;768;700;580;426;681;707;046;090;915
742,Savukoski,Savukoski,19,67.29200482,28.16437082,1009,732;758;583
743,Seinäjoki,Seinäjoki,14,62.7866629,22.8422796,64736,145;301;152;250;010;936;233;408;300
746,Sievi,Sievi,17,63.90628117,24.52115685,4781,217;691;421;849;977;208;535;069
747,Siikainen,Siikais,4,61.87766037,21.82314098,1352,484;608;151;214
748,Siikajoki,Siikajoki,17,64.66383877,25.1032933,5028,072;678;436;425;791
791,Siikalatva,Siikalatva,17,64.27203017,25.86377571,5131,678;205;317;071;630;785;425;748
749,Siilinjärvi,Siilinjärvi,11,63.07366471,27.65969853,21293,402;297
751,Simo,Simo,19,65.66127005,25.06229717,2904,683;845;241;240;139
753,Sipoo,Sibbo,1,60.37685697,25.26851611,22190,638;611;505;245;858;186;092;091
755,Siuntio,Sjundeå,1,60.13801755,24.22486335,6198,149;257;927;444
758,Sodankylä,Sodankylä,19,67.41492023,26.5906737,8187,261;148;583;742;698
759,Soini,Soini,14,62.87297229,24.21017323,1997,226;989;005;312;729
761,Somero,Somero,2,60.62829072,23.51769127,8563,834;444;981;734;169;284
762,Sonkajärvi,Sonkajärvi,11,63.66916303,27.52374291,3777,765;687;140;925;402;205
765,Sotkamo,Sotkamo,18,64.13202497,28.38768985,10348,687;762;541;205;578;290;697
766,Sottunga,Sottunga,21,60.1299875,20.6674187,105,062;941;035;318;295;445
768,Sulkava,Sulkava,10,61.78972633,28.37804232,2430,623;178;700;740;681
771,Sund,Sund,21,60.25020017,20.11629353,1019,170;438;941;060;736
777,Suomussalmi,Suomussalmi,18,64.88382112,28.90479474,7508,615;832;290;620;305;105
778,Suonenjoki,Suonenjoki,11,62.62303745,27.12757693,6891,686;420;593;844;297
781,Sysmä,Sysmä,7,61.50377194,25.68370291,3584,111;016;435;576;081;291
783,Säkylä,Säkylä,4,61.04836121,22.3367859,6588,050;636;561;102;271;430
831,Taipalsaari,Taipalsaari,9,61.16133035,28.05757935,4595,623;739;700;405;416
832,Taivalkoski,Taivalkoski,17,65.57625212,28.24059807,3913,615;777;305;614
833,Taivassalo,Tövsala,2,60.56180763,21.61119766,1677,304;895;918;503;529
834,Tammela,Tammela,5,60.80813431,23.76027751,5967,224;761;433;444;887;169;109;061
837,Tampere,Tammerfors,6,61.49774257,23.76129008,244223,536;211;980;418;604;702;562
844,Tervo,Tervo,11,62.95214524,26.75393233,1479,778;686;921;239;595;297
845,Tervola,Tervola,19,66.08702402,24.81106439,2882,751;683;976;851;241;698
846,Teuva,Östermark,14,62.48476149,21.74719097,4952,287;301;218;232;545
848,Tohmajärvi,Tohmajärvi,12,62.22623542,30.33305726,4241,260;707;167
849,Toholampi,Toholampi,16,63.77168786,24.25050415,2938,217;272;691;421;746
850,Toivakka,Toivakka,13,62.09792979,26.08254474,2387,172;213;077;410;500;179
851,Tornio,Torneå,19,65.84973018,24.14409161,21333,845;976;241;240
853,Turku,Åbo,2,60.45169035,22.26686667,195137,529;680;704;202;423;019;445
857,Tuusniemi,Tuusniemi,11,62.8124066,28.48825063,2420,309;420;090;204;297
858,Tuusula,Tusby,1,60.40236938,25.02514204,39718,753;505;543;106;245;186;092
859,Tyrnävä,Tyrnävä,17,64.76336397,25.65263345,6593,564;494;244;425
886,Ulvila,Ulvsby,4,61.43265293,21.88803331,12669,531;079;271;609
887,Urjala,Urjala,6,61.08113172,23.54931127,4669,834;922;103;619;109;061;020;790
889,Utajärvi,Utajärvi,17,64.76169558,26.41690797,2568,564;494;615;620;785
890,Utsjoki,Utsjoki,19,69.90782852,27.02654128,1176,148
892,Uurainen,Uurainen,13,62.50080639,25.43851887,3634,495;410;992;729;592;179
893,Uusikaarlepyy,Nykarleby,15,63.5231258,22.53008601,7497,598;599;233;946
895,Uusikaupunki,Nystad,2,60.80120774,21.40772712,15463,304;833;918;400;631
785,Vaala,Vaala,17,64.56094215,26.84067373,2673,205;578;494;889;620;791
905,Vaasa,Vasa,15,63.09258888,21.61587412,67615,499;399;475;152;946
908,Valkeakoski,Valkeakoski,6,61.27005325,24.0292485,20695,211;635;082;109;418;020
092,Vantaa,Vanda,1,60.29813372,25.00664133,239206,049;753;543;245;858;091
915,Varkaus,Varkaus,11,62.31395067,27.88858734,19973,740;171;681;420;090
918,Vehmaa,Vemo,2,60.68590275,21.71251213,2271,895;833;400;503
921,Vesanto,Vesanto,11,62.93103044,26.41284911,1941,686;992;931;275;239;844
922,Vesilahti,Vesilahti,6,61.30558386,23.62763645,4444,887;536;418;604;020;790
924,Veteli,Vetil,16,63.47528731,23.78862512,3004,584;403;934;052;074;236;288
925,Vieremä,Vieremä,11,63.74406951,27.00516045,3490,762;140;205;263;630
927,Vihti,Vichtis,1,60.41679192,24.3198584,29239,257;049;224;433;543;106;444;755
931,Viitasaari,Viitasaari,13,63.08279201,25.85516791,6070,601;256;265;992;216;921;239
934,Vimpeli,Vindala,14,63.16192798,23.82060074,2756,005;584;403;924
935,Virolahti,Vederlax,8,60.5820711,27.7088716,3040,489;075
936,Virrat,Virdois,6,62.23848456,23.77374769,6465,989;250;010;249;980;743;702;508
941,Vårdö,Vårdö,21,60.24435102,20.37533809,463,766;062;438;771;736;295
946,Vöyri,Vörå,15,63.132068,22.25245638,6376,499;893;152;905;233
976,Ylitornio,Övertorneå,19,66.32304498,23.67301232,3830,845;854;851;698
977,Ylivieska,Ylivieska,17,64.0722845,24.53369019,15357,746;009;071;563;208;535
980,Ylöjärvi,Ylöjärvi,6,61.55715602,23.59658012,33533,536;581;108;250;936;837;702;143
981,Ypäjä,Ypäjä,5,60.80522774,23.27243838,2282,761;103;169;430
989,Ähtäri,Etseri,14,62.55285929,24.07501843,5484,759;495;005;010;936;249;729
992,Äänekoski,Äänekoski,13,62.60330743,25.72483135,18318,892;410;729;931;216;921;275